arquivo,produto,ref,objetivo,mensagem,cta,url,utm_content,foto_oficial
feed-01.jpg,Regata Alcinha,403048,prospeccao,LEVE 4 PAGUE 3,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/ref-403048,feed01_regata_alcinha,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/403048/MUSGO/1786651420238-modelo-oficial-rosto-regata-verde-acetinada.png
feed-02.jpg,Calca Aladdin,406027,prospeccao,A PECA DE MENOR VALOR E GRATIS,CONHECER NOVIDADES,https://www.lurdsplussize.com.br/produto/ref-406027,feed02_calca_aladdin,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/406027/MUSGO/1786651011099-modelo-oficial-acetinado-2305.png
feed-03.jpg,Camisa Manga Longa,407012,prospeccao,ESCOLHA 4 LOOKS PAGUE 3,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/ref-407012,feed03_camisa_poa,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/407012/PO__MARROM/1786647750095-modelo-oficial-look-poa-1905.png
feed-04.jpg,Blusa Manga Curta,700984,prospeccao,EM TODO O SITE,VER BLUSAS,https://www.lurdsplussize.com.br/produto/blusa-feminina-plus-size-manga-curta-ref-700984-estampa-marinho,feed04_blusa_estampa,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700984/ESTAMPA_MARINHO/1786068007124-700984-ESTAMPA-MARINHO-1-jpg.jpg
feed-05.jpg,Regata,700991,prospeccao,LEVE 4 PAGUE 3,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/regata-feminina-plus-size-ref-700991-marrom,feed05_regata_marrom,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700991/MARROM/1786068027855-700991-MARROM-1-jpg.jpg
feed-06.jpg,Regata,700979,prospeccao,MONTE SEUS 4 FAVORITOS,ESCOLHER PECAS,https://www.lurdsplussize.com.br/produto/regata-feminina-plus-size-ref-700979-estampa-verde,feed06_regata_verde,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700979/ESTAMPA_VERDE/1786068003927-700979-ESTAMPA-VERDE-1-jpg.jpg
feed-07.jpg,Kimono Manga Curta,701008,prospeccao,A MAIS BARATA E GRATIS,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/kimono-manga-curta-plus-size-ref-701008-estampa-coral,feed07_kimono,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/701008/ESTAMPA_CORAL/1786068057780-701008-ESTAMPA-CORAL-1-jpg.jpg
feed-08.jpg,Camisa Manga Longa,701003,prospeccao,4 PECAS DIFERENTES UMA GRATIS,VER NOVIDADES,https://www.lurdsplussize.com.br/produto/camisa-feminina-manga-longa-plus-size-ref-701003-marrom,feed08_camisa_marrom,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/701003/MARROM/1786068041800-701003-MARROM-1-jpg.jpg
feed-09.jpg,Blusa Manga Curta,SMILE,prospeccao,LEVE 4 PAGUE 3,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/blusa-feminina-manga-curta-plus-size-ref-smile-manteiga,feed09_smile,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/SMILE/MANTEIGA/1786072422905-SMILE-MANTEIGA-1-jpg.jpg
feed-10.jpg,Blusa Manga Curta,CHIC,prospeccao,SEU QUARTO LOOK E POR NOSSA CONTA,ESCOLHER PECAS,https://www.lurdsplussize.com.br/produto/blusa-feminina-manga-curta-plus-size-ref-chic-goiaba,feed10_chic,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/CHIC/GOIABA/1785768558941-WhatsApp_Image_2026-07-25_at_08.57.55.jpeg
feed-11.jpg,Shorts Saia Bengaline,820109,prospeccao,EM TODO O SITE,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/shorts-saia-bengaline-plus-size-ref-820109-amendoa,feed11_shorts_saia,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/820109/AMENDOA/1786068773710-820109-AMENDOA-1-jpg.jpg
feed-12.jpg,Blusa Tule Manga Longa,700996,prospeccao,LEVE 4 PAGUE 3,VER BLUSAS,https://www.lurdsplussize.com.br/produto/blusa-tule-feminina-plus-size-manga-longa-ref-700996-preto,feed12_tule,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/700996/PRETO/1786068034081-700996-PRETO-1-jpg.jpg
feed-13.jpg,Shorts Saia,810175,prospeccao,A PECA DE MENOR VALOR E GRATIS,COMPRAR AGORA,https://www.lurdsplussize.com.br/produto/shorts-saia-plus-size-ref-810175-marrom,feed13_shorts_marrom,https://pub-84da472609374e0ab161fd54571b5f38.r2.dev/produtos/810175/MARROM/1786068700800-810175-MARROM-1-jpg.jpg
